Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,170.160004,172.300003,169.259995,172.259995,168.33905,25555900
1/3/2018,172.529999,174.550003,171.960007,172.229996,168.309738,29517900
1/4/2018,172.539993,173.470001,172.080002,173.029999,169.091522,22434600
1/5/2018,173.440002,175.369995,173.050003,175,171.016678,23660000
1/8/2018,174.350006,175.610001,173.929993,174.350006,170.381485,20567800
1/9/2018,174.550003,175.059998,173.410004,174.330002,170.361954,21584000
1/10/2018,173.160004,174.300003,173,174.289993,170.322845,23959900
1/11/2018,174.589996,175.490005,174.490005,175.279999,171.290329,18667700
1/12/2018,176.179993,177.360001,175.649994,177.089996,173.059113,25418100
1/16/2018,177.899994,179.389999,176.139999,176.190002,172.179611,29565900
1/17/2018,176.149994,179.25,175.070007,179.100006,175.023361,34386800
1/18/2018,179.369995,180.100006,178.25,179.259995,175.179718,31193400
1/19/2018,178.610001,179.580002,177.410004,178.460007,174.397949,32425100
1/22/2018,177.300003,177.779999,176.600006,177,172.971176,27108600
1/23/2018,177.300003,179.440002,176.820007,177.039993,173.010254,32689100
1/24/2018,177.25,177.300003,173.199997,174.220001,170.25444,51105100
1/25/2018,174.509995,174.949997,170.529999,171.110001,167.21521,41529000
1/26/2018,172,172,170.059998,171.509995,167.60614,39143000
1/29/2018,170.160004,170.160004,167.070007,167.960007,164.136932,50640400
1/30/2018,165.529999,167.369995,164.699997,166.970001,163.169464,46048200
1/31/2018,166.869995,168.440002,166.5,167.429993,163.618988,32478900
2/1/2018,167.169998,168.619995,166.759995,167.779999,163.961014,47230800
2/2/2018,166,166.800003,160.100006,160.5,156.846741,86593800
2/5/2018,159.100006,163.880005,156,156.490005,152.928009,72738500
2/6/2018,154.830002,163.720001,154,163.029999,159.319138,68243800
2/7/2018,163.089996,163.399994,159.070007,159.539993,155.908569,51608600
2/8/2018,160.289993,161,155.029999,155.149994,151.618515,54390500
2/9/2018,157.070007,157.889999,150.240005,156.410004,153.473022,70672600
2/12/2018,158.5,163.889999,157.509995,162.710007,159.654739,60819500
2/13/2018,161.949997,164.75,161.649994,164.339996,161.254105,32549200
2/14/2018,163.039993,167.539993,162.880005,167.369995,164.227203,40644900
2/15/2018,169.789993,173.089996,169,172.990005,169.741684,51147200
2/16/2018,172.360001,174.820007,171.770004,172.429993,169.1922,40176100
